sample	amglyccycl	arylpolyene	bacteriocin	blactam	butyrolactone	cyanobactin	ectoine	fused	head_to_tail	hserlactone	indole	ladderane	lantipeptide	lassopeptide	microviridin	nrps	oligosaccharide	other	otherks	phenazine	phosphonate	proteusin	PUFA	resorcinol	sactipeptide	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-23	2.83978	31.33672	98.282484	0	0	2.1997	19.951289	0	0	18.074434	1.8574	0	20.112091	15.443893	0	87.074496	0	54.116796	11.830057	0	1.755146	2.037883	5.35474	8.07305	0.776598	26.176261	40.820732	3.66382	20.739414	116.205694	2.777337	0
sim_meta-24	0	20.987408	179.695647	0	0	0	7.940837	0	0	17.830804	0	6.49675	42.64541	10.073766	0	181.182246	0	36.45305	12.72794	0	0	0	6.24668	15.26233	0	17.451319	108.1544	6.62338	23.174438	103.022918	0	6.48126
sim_meta-25	4.54061	28.758787	136.292308	0	4.45694	3.08952	7.004808	4.26986	0	6.095514	0.90673	4.19438	44.16348	12.75594	0	85.715464	0	18.972596	27.981511	4.14753	3.05385	0	10.974251	17.74485	0	31.401849	64.013456	13.500926	20.621324	138.435116	4.04079	8.92981
sim_meta-26	0	31.30127	120.23942	0	0	1.40135	19.26905	0	0	13.52057	0	0	22.35389	2.5732	1.35906	57.31977	0	7.58665	1.36833	0	0	0	0	4.78624	0	1.50199	3.28129	0	11.0372	66.38377	0	0
sim_meta-27	2.164463	28.086507	137.895651	0	2.021037	0.923024	27.791993	1.57553	0.354236	40.902299	3.61272	2.98976	30.220839	1.627598	0	138.627559	0	25.868486	15.525224	2.2934	9.218307	0	9.661674	3.12611	0.154297	24.427215	77.562364	5.34546	19.873564	121.1228375	1.49642	15.021389
sim_meta-28	4.06439	27.297033	163.17361	0	4.12799	0	8.827626	0	0	17.882137	0	3.56889	3.46636	5.76677	0	71.56418	0	19.01389	11.88122	0	3.8328	0	3.41065	2.80983	0	39.403425	19.68398	0	11.26533	72.58842	0	0
sim_meta-29	5.26783	13.41809	124.89107	0	5.54115	0	8.2096	5.22537	0	11.59448	10.40766	10.34933	29.14079	12.336016	0	94.66329	4.27019	18.45518	18.72976	6.33129	0	0	11.24155	10.83832	1.1912	14.8622	74.25326	5.14296	27.867136	107.63157	5.2416	0
sim_meta-3	0	44.11029	79.321976	0	0	0.398526	20.76163	0	0	4.71172	0	0.206369	37.48468	10.453885	0	55.318773	0	63.034561	8.582825	4.28802	3.24098	0	4.28249	11.002043	0	21.85241	53.487008	0	19.01947	112.426871	0	0
sim_meta-30	0	32.83585	60.79414	0	2.49459	0	5.91815	0	0	10.1854	0	0	32.374173	4.61956	0	38.790198	0	8.7585	24.98531	0	6.35088	0	10.30332	5.79936	0	22.90178	18.52658	0	27.00466	75.782797	0	0
sim_meta-31	6.30226	24.899663	76.852362	0	3.82847	1.837557	22.68217	4.01753	0	21.875783	7.27935	3.75635	27.394039	0.362065	0.330626	68.815954	3.11771	21.005102	13.755581	0	4.947565	0	5.66228	9.29938	0	21.07255	47.585941	3.49163	12.719375	108.245201	3.73121	4.406072
sim_meta-32	2.132342	33.398158	93.77341	0	2.130114	0	22.825103	0	0	20.5479169	1.80417	0	12.948421	4.365555	0	79.588427	0	36.38875	16.634468	0	2.239494	0.490383	5.67119	10.82275	4.808453	9.009464	30.478775	1.394	33.980689	110.120899	0	4.06592
sim_meta-33	0	40.381255	61.1421568	0	0	0	15.518937	0	0	32.651693	0	2.2108	17.8375	4.24475	0	100.413685	0	32.696413	21.155733	0	3.577861	3.9178	13.879472	5.740925	2.13426	10.844771	30.293733	2.2108	33.400416	107.902034	0	11.33259
sim_meta-34	1.19758	41.955754	165.512973	0	2.8873	0.582817	23.060675	0	0	34.145021	0	0	11.274867	5.09619	0.49621	30.863847	0	27.424997	8.114633	0	5.40921	0	6.29262	4.81311	0	19.971476	6.292524	0	33.139633	115.62684	0.383297	2.58585
sim_meta-35	0	29.663968	119.1254578	0	1.97181	0.318142	19.973697	0	0	24.539601	0.434864	0.370574	10.875858	7.045187	0.710236	66.863003	0	17.100696	11.803675	0	4.730824	0	7.997173	5.347999	0.359499	14.002831	26.128283	0	33.524578	120.477131	0.933111	3.941531
sim_meta-36	0	15.585062	93.2574997	0	0	2.09583	15.601662	0	0	17.816585	0	0	15.8884	18.40781	0	62.935377	0	12.510322	13.13639	4.64659	8.53483	1.31881	3.59354	6.208614	1.49534	7.780888	31.652518	1.0996	15.321944	109.283159	0	5.42938
sim_meta-37	1.69348	14.189407	111.9049092	0	8.073157	0	13.800718	0	0	44.74713	0	0	19.606572	10.656902	0	47.7172073	0	18.3491025	17.594052	0	2.895688	0	2.67759	15.1193	1.992985	18.339438	34.373099	0	29.836293	123.2488671	0.548461	1.95377
sim_meta-38	0	22.246025	89.9736	0	0.844521	0	57.793557	0	0	10.889541	0	0	4.19803	16.165755	0	27.04287	0	9.15666	13.025195	1.30505	2.6404	0	7.08907	13.79906	0	15.20348	18.812729	0	16.795486	150.844102	0	0
sim_meta-39	2.42502	30.398848	46.135653	0	1.40287	0	19.322604	0	0	10.376512	0	0	20.135626	13.032	0	104.164713	0	20.7105	14.19636	0	0.660321	0	0	8.565733	0.509888	9.759931	29.913477	0	21.44145	82.302269	0	10.4158
sim_meta-4	1.59856	26.102059	136.894118	0	2.853182	0	12.606862	0	1.62488	12.743573	1.40182	6.50496	34.418119	16.512641	0	110.444699	0	23.100139	11.463008	3.56963	3.16342	0	4.79782	7.78023	0	15.420755	50.237201	3.81538	31.117222	95.047524	0	5.94937
sim_meta-40	0	42.800711	92.655196	4.75207	0	5.898739	22.538427	0	0	16.39787	7.60414	9.27802	10.270885	11.308551	0.54713	91.561312	0	13.224677	20.638091	0	5.719747	0	19.24868	7.747357	3.16387	32.008081	35.485622	5.211157	21.245711	93.915326	0	9.18372
sim_meta-41	7.01601	28.324726	91.9601	0	6.61587	5.0005	16.3153	6.29511	0	11.631019	0	0	13.846299	0.879218	0	76.260215	0	18.24968	9.317568	0	1.883113	0	4.75163	5.18256	0.951917	27.14989	70.945213	13.38324	18.89544	88.354701	6.32797	6.88455
sim_meta-42	0	40.32176	91.908583	0	3.873979	0	23.049513	0	0	23.0325	0	0	19.44232	6.129	0	71.815108	0	42.84876	12.094693	1.291104	0	0.520768	7.43148	5.814625	0	12.753199	33.833784	0	21.188763	85.356357	0.218371	0
sim_meta-43	0	29.287037	70.51894	0	3.89049	0.859009	13.605682	0	0	10.580231	0.945652	0.899131	10.893223	5.601366	1.884612	58.346759	0	14.095552	16.6256	0	3.396014	0	10.185347	3.47437	0	20.617995	17.929199	0	16.321331	112.431882	0	2.28196
sim_meta-44	1.00864	44.318962	114.587614	2.46656	1.718987	0	30.075646	0.708541	0	19.174046	2.27627	5.836031	22.129395	6.094177	0	71.680696	0	23.433348	14.851764	0.605038	0	2.36377	10.387685	16.381335	2.40889	23.523762	37.511083	6.442706	32.395626	93.246601	1.444905	1.575929
sim_meta-45	0	48.34153	88.542934	0	5.58448	0.550804	14.601705	0	1.10008	28.240635	0	1.508306	8.572577	10.863381	0.153747	90.646172	0	14.865256	10.713253	0	11.30889	0	7.04815	7.452707	0	19.248001	19.668827	0	9.979254	126.636381	0	4.301841
sim_meta-46	0	15.23559	76.507956	0	2.15385	1.57643	16.54486	0	0	14.163401	0	1.02638	10.53419	11.52426	0	60.75066	0	16.80104	12.22472	0	0	0	8.67201	3.360189	0	10.21412	17.143925	0	15.55383	81.190668	0	10.72489
sim_meta-47	0	25.777136	101.7929111	0	1.745899	0.102256	19.846857	0	2.31184	33.104168	0	2.4815413	12.004925	7.762599	0	63.725361	0	24.619637	12.33113	3.44803	7.22955	0.434028	10.80674	4.9366694	0	20.099125	17.705894	0	24.29552	105.4898535	0	3.65611
sim_meta-48	0	20.143742	97.918978	2.12838	1.4445	0	40.807209	0	0	24.331342	2.38749	5.90134	17.454475	13.41762	0	79.040748	0	22.248255	13.042501	3.63525	0.251006	0	9.75296	6.472838	1.58659	12.123013	54.981297	4.38713	22.383466	104.329365	0	3.08214
sim_meta-49	8.62557	13.855139	137.363831	0	8.54028	0	16.467931	4.95649	0	17.96159	0	2.24287	40.191385	21.82725	0	122.888103	0	29.362128	17.13672	8.64547	3.72942	0	5.29372	5.863235	0	15.048587	79.235917	12.73484	27.576051	99.604517	4.82938	8.86628
