sample	amglyccycl	arylpolyene	bacteriocin	blactam	butyrolactone	cyanobactin	ectoine	hserlactone	indole	ladderane	lantipeptide	lassopeptide	linaridin	melanin	microviridin	nrps	nucleoside	oligosaccharide	other	otherks	phenazine	phosphonate	proteusin	PUFA	resorcinol	sactipeptide	siderophore	t1pks	t2pks	t3pks	terpene	thiopeptide	transatpks
sim_meta-89	0	3.69893	82.270483	0	6.90084	0	3.907	40.293315	0	3.08301	14.75222	6.49203	8.5022	0	0	57.61512	0	0	32.583164	5.81012	0	3.9024	0	0	0	0	8.2331	46.264719	0	26.46276	92.422663	0	0
sim_meta-9	2.37642	17.05083	94.036081	0	0	0	20.913935	32.793041	7.93255	0	22.518472	2.57525	0	2.73273	5.02486	119.604844	0	0	41.780068	22.314072	4.9435	7.67145	2.05876	1.3864	11.55494	0	48.953932	80.312081	6.6816	30.338299	114.346665	2.49559	4.76725
sim_meta-90	1.88673	22.255873	44.433797	0	8.26507	0	20.692427	29.527629	3.90382	5.80061	18.42023	17.595175	0	1.76101	0	94.018954	4.6557	3.98682	29.2486044	9.47868742	2.1596	1.06979	0.939024	0.497935	9.46046	0	31.141793	59.35474642	12.40017	18.602646	110.592123	1.94934	0.749814
sim_meta-91	0	25.369223	75.969413	0	1.77447	0	11.839441	11.29782	1.84211	3.41777	25.560725	5.84831	0	0	2.91458	88.814328	3.58768	4.89044	41.103214	16.802114	2.86576	2.11714	0	0	16.47491	0	17.151889	39.142945	1.77774	29.212296	112.731041	0	1.130328
sim_meta-92	0	30.04059	56.9123	0	0	0	26.056358	31.844628	0	0	7.71344	8.441503	0	0	0	33.49258	0	0	35.698344	0	0	2.03003	2.43139	0	23.95418	0	7.03068	25.220884	3.43933	19.74806	131.988647	0	0
sim_meta-93	0	24.000859	61.930058	0	11.64442	0	8.54539	36.5635678	0	7.19911	7.251897	3.68641	0	0	0	76.142525	0	0	26.980518	0	4.10154	0	0	0	8.41732	0	8.248044	27.2856376	0	19.698956	142.399994	3.07969	0
sim_meta-94	1.35505	21.802404	97.3594107	0	2.330222	0	20.240416	38.504713	5.35241	0.673723	25.713152	9.758321	0	0	4.26376	101.4351072	5.601749	0	56.478779	14.465628	3.29948	3.444243	0.456995	0	6.826102	0	26.475084	87.10266	7.355205	21.755723	130.4759	4.542907	2.9243
sim_meta-95	2.83917	11.30079	90.343924	1.67439	3.0457	0	24.866104	34.710589	4.78378	5.9771	50.99995	23.59302	0	0	1.36731	67.176598	2.94556	0	51.798848	15.80168	0	0	0	0	1.29807	0	16.45874	74.680828	20.04229	23.49859	115.208797	5.91028	0
sim_meta-96	4.05071	29.23614	57.1886264	0	18.90757	0	14.616091	35.89877	1.66633	0	25.154505	12.535503	1.93439	4.24681	0	65.539622	0	0	41.465804	1.625709	0	1.812439	0	0	12.09981	0	25.993059	45.022403	1.67873	28.213092	109.896977	12.98079	0.541152
sim_meta-97	0	26.45032	103.587262	0	4.00232	0	13.46684	20.269948	0	9.25708	49.47592	8.17902	0	0	12.951569	104.661012	4.18594	2.8764	69.438272	47.601401	14.00647	16.08033	0	0	11.75131	0	22.108152	80.508423	12.55124	36.889	135.697618	13.35198	20.78739
sim_meta-98	1.06119	23.4794565	135.740986	0	4.05846	0	22.644054	18.025512	0	0	24.449039	2.4279915	0.600885	1.14095	0	151.0429392	0	0	26.984913	0	1.69252	5.34672	0	0	9.926	0	16.702817	43.5473194	0	18.932847	94.479885	7.675059	5.23178
sim_meta-99	0	16.23226	80.943687	0	3.23801	0	3.048017	24.461644	2.01246	9.69297	33.40293	12.557334	0	0	5.975312	116.622963	1.358	1.78251	47.94522	21.129403	2.40536	2.64272	0	0	5.777222	0	20.97695	58.528634	1.78251	41.528301	92.326061	9.627866	7.15383
